Rank Tier,Standard,Doubles,Solo Duel,Solo Standard,Rumble,Dropshot,Hoops,Snow Day
Bronze 1,0.88,3.54,1.11,1.10,0.08,0.02,0.00,0.03
Bronze 2,1.58,4.74,3.92,2.91,0.33,0.09,0.02,0.18
Bronze 3,2.88,6.53,6.90,3.98,0.79,0.30,0.10,0.46
Silver 1,4.70,8.10,10.26,5.72,1.67,0.86,0.43,1.10
Silver 2,6.55,8.79,12.12,7.33,3.07,1.88,1.28,2.13
Silver 3,7.98,8.70,12.41,8.67,4.96,3.55,2.88,3.54
Gold 1,9.07,8.55,12.30,10.19,7.28,5.95,5.52,5.53
Gold 2,9.15,7.67,10.35,10.23,9.43,8.74,8.46,7.58
Gold 3,11.13,8.77,8.24,9.61,10.83,10.87,11.07,9.56
Platinum 1,10.44,7.86,6.78,9.20,12.22,12.90,13.28,11.30
Platinum 2,8.51,6.26,4.92,7.70,11.89,13.25,13.53,12.13
Platinum 3,6.58,4.92,3.47,6.07,10.36,12.20,12.55,11.47
Diamond 1,5.58,4.19,2.50,6.32,8.96,10.44,10.52,10.45
Diamond 2,4.36,3.20,1.69,4.29,6.75,7.73,7.75,8.62
Diamond 3,4.78,3.38,1.10,2.75,5.44,6.26,6.47,7.48
Champion 1,3.18,2.41,0.97,1.97,3.33,3.06,3.55,4.62
Champion 2,1.64,1.38,0.56,1.22,1.70,1.32,1.73,2.51
Champion 3,0.76,0.73,0.31,0.68,0.59,0.48,0.61,0.96
Grand Champion,0.26,0.27,0.08,0.08,0.29,0.11,0.25,0.36
