Rank Tier,Solo Duel,Doubles,Solo Standard,Standard
Bronze 1,3.34,4.77,3.7,1.63
Bronze 2,8.14,8.24,5.71,3.6
Bronze 3,12.5,11.59,7.71,6.64
Silver 1,16.15,13.91,11.17,10.71
Silver 2,14.54,13.3,12.15,12.97
Silver 3,12.17,11.53,11.78,13.23
Gold 1,10.81,10.66,12.69,13.99
Gold 2,7.7,7.85,9.9,11.04
Gold 3,4.93,5.57,7.41,8.05
Platinum 1,4.28,4.82,6.99,7.21
Platinum 2,2.28,2.83,4.19,4.27
Platinum 3,1.32,1.71,2.58,2.52
Diamond 1,0.91,1.46,2,2.07
Diamond 2,0.43,0.78,0.97,1.06
Diamond 3,0.22,0.38,0.49,0.44
Champion 1,0.16,0.34,0.34,0.33
Champion 2,0.06,0.14,0.13,0.14
Champion 3,0.03,0.05,0.05,0.05
Grand Champion,0.03,0.07,0.04,0.05
