Rank Tier,Solo Duel,Solo Standard,Standard,Doubles
Bronze 1,4.05,4.28,1.96,5.41
Bronze 2,8.76,6.14,4.08,8.74
Bronze 3,12.95,7.95,7.16,11.78
Silver 1,15.99,10.72,10.95,13.54
Silver 2,14.57,11.7,13.11,12.91
Silver 3,12.33,11.61,13.23,11.24
Gold 1,10.11,11.95,13.11,9.97
Gold 2,7.45,9.79,10.64,7.57
Gold 3,4.8,7.51,7.84,5.58
Platinum 1,3.79,6.64,6.49,4.57
Platinum 2,2.19,4.38,4.22,2.95
Platinum 3,1.31,2.78,2.66,1.94
Diamond 1,0.81,2.08,2.07,1.55
Diamond 2,0.4,1.11,1.27,0.99
Diamond 3,0.22,0.62,0.55,0.5
Champion 1,0.14,0.4,0.37,0.39
Champion 2,0.06,0.19,0.17,0.2
Champion 3,0.04,0.08,0.06,0.08
Grand Champion,0.03,0.07,0.06,0.09
